text,time,anger,disgust,fear,joy,sadness
Ở bên kia,2016-06-28T06:47:54+0000,0.100306,0.064768,0.108363,0.508629,0.264997
"Nét buồn

Mod: Le Bui
Photo + B/R: Minh Hoang

Full HD and more pics: https://www.flickr.com/gp/143138175@N07/qTG9Y7",2016-06-27T05:24:46+0000,0.138415,0.011145,0.058782,0.65306,0.200527
"Nét buồn

Mod: Le Bui
Photo + B/R: Minh Hoang

Full HD and more pics: https://www.flickr.com/gp/143138175@N07/qTG9Y7",2016-06-27T05:24:46+0000,0.138415,0.011145,0.058782,0.65306,0.200527
"That moment after typing for 2 hours and the code compile and all test cases pass.

My mind is still sharp after so much.

Nobody is going to understand this, but I am too happy, so I am gonna brag about it.",2016-06-26T00:25:20+0000,0.10448,0.119566,0.020182,0.336625,0.469906
Baking.,2016-06-24T05:13:50+0000,0,0,0,0,0
"Night Photoshoot - Summer 2016

Mod: Trang
Photo + Edit: Me
Assist: Thu

More pics + HD: https://flic.kr/s/aHskBRfUXs",2016-06-24T04:24:20+0000,0.052788,0.008171,0.028686,0.73468,0.219303
Life off-campus :D,2016-06-13T16:11:57+0000,0.020003,0.141029,0.032133,0.765841,0.057652
First day in new home <3,2016-06-13T16:11:57+0000,0.025818,0.003833,0.087439,0.700235,0.217934
"Everything will be alright.

FULL HD AND ALL PICS: https://flic.kr/s/aHskAWn7AJ",2016-06-07T11:11:07+0000,0.184671,0.009595,0.106,0.47447,0.281741
Lone sailor.,2016-06-06T04:07:47+0000,0.081994,0.048857,0.082279,0.498541,0.341628
"Everything will be alright.

FULL HD AND ALL PICS: https://flic.kr/s/aHskAWn7AJ",2016-06-05T11:41:25+0000,0.184671,0.009595,0.106,0.47447,0.281741
You don't fight a battle alone <3,2016-06-05T11:41:25+0000,0.266032,0.013767,0.360381,0.063121,0.351395
Most peaceful night after what seemed like an eternity.,2016-06-03T23:27:38+0000,0.099908,0.037371,0.200849,0.566884,0.154925
"Everything will be alright.

FULL HD AND ALL PICS: https://flic.kr/s/aHskAWn7AJ",2016-06-03T04:38:52+0000,0.184671,0.009595,0.106,0.47447,0.281741
A room of 6 for 7.,2016-06-03T04:38:52+0000,0.092947,0.464876,0.284616,0.149651,0.091125
"Everything will be alright.

FULL HD AND ALL PICS: https://flic.kr/s/aHskAWn7AJ",2016-06-01T23:34:29+0000,0.184671,0.009595,0.106,0.47447,0.281741
Polluted with our love.,2016-05-28T13:07:15+0000,0.056823,0.041637,0.087639,0.768607,0.088714
Ra khơi.,2016-05-26T13:09:37+0000,0.106539,0.077208,0.10498,0.461223,0.294648
Bình Ba,2016-05-26T11:28:56+0000,0.078403,0.098368,0.117771,0.451382,0.290703
"Paid 2 hours to learn a lesson: FOR COMPETITIVE CODING, DO NOT USE PRINTF IN JAVA.

PRINTF = SLOW

http://stackoverflow.com/questions/29654609/is-javas-printf-method-efficient-for-concatenating-and-printing-strings

Anyway, now I can sleep in peace xD",2016-05-21T21:10:40+0000,0.603072,0.008622,0.041964,0.280604,0.125719
Quang Nguyen,2016-05-21T05:14:06+0000,0.092354,0.068049,0.113012,0.518045,0.254235
Study Corner,2016-05-17T08:57:24+0000,0.10595,0.198984,0.036832,0.519634,0.20345
Great book. Best book. 10/10....,2016-05-14T10:26:25+0000,0.0157,0.002688,0.064585,0.892482,0.06701
Midnight coder strikes again. #jetlag,2016-05-11T17:43:22+0000,0.096442,0.117159,0.299732,0.285548,0.269081
First morning :3,2016-05-11T02:53:02+0000,0.013398,0.027444,0.020687,0.891521,0.080169
"2 out :(

Note: not everyone is in here :P",2016-05-07T05:29:41+0000,0.089895,0.022722,0.157,0.360988,0.379593
Mèo mèo,2016-05-06T16:03:18+0000,0.092236,0.072559,0.099438,0.51041,0.284853
"Quang Nguyen Keith Nguyen

Quick interesting fact for CSF class.",2016-05-05T03:58:24+0000,0.201843,0.107669,0.079679,0.142684,0.547852
1 hour till finals. I still have no idea what to study...,2016-05-03T15:13:34+0000,0.120263,0.098314,0.084714,0.197359,0.590615
Huong T. Nguyen Minh Tri if you are interested in tasting a little bit of programming,2016-04-27T18:55:44+0000,0.120372,0.273993,0.058897,0.520422,0.115889
Coding and chill time during final <3,2016-04-25T20:31:21+0000,0.131451,0.010727,0.15314,0.594365,0.164594
- Banquet,2016-04-23T02:59:48+0000,0.066886,0.042922,0.0687,0.64793,0.20001
Jay! A gift.,2016-04-18T01:05:06+0000,0.078451,0.060507,0.042669,0.670076,0.177688
Go TCU,2016-04-16T17:10:49+0000,0.084376,0.006286,0.171681,0.07182,0.734658
Lunar New Year!,2016-04-14T03:05:35+0000,0.033796,0.022771,0.023225,0.902424,0.036128
Finally <3,2016-03-30T23:59:15+0000,0.001258,0.002252,0.039768,0.921173,0.047566
Pi Day <3,2016-03-18T18:07:39+0000,0.031079,0.010025,0.021695,0.795787,0.167154
Wave wave <3,2016-03-10T16:59:05+0000,0.061509,0.019557,0.114537,0.622624,0.21208
So peacefully sleeping T-T,2016-03-08T14:18:35+0000,0.082963,0.025884,0.064394,0.577319,0.317206
Visit facebook.com/tcuvsa for more info,2016-02-29T01:47:26+0000,0.105752,0.091373,0.036735,0.768674,0.067647
4 sợi chỉ,2016-02-20T03:02:31+0000,0.097147,0.071356,0.104438,0.485951,0.293752
Fainted,2016-02-19T23:14:32+0000,0,0,0.6,0,0.9
Which dinner?,2016-02-15T00:27:22+0000,0.250359,0.225126,0.052885,0.420982,0.149941
"Hackathon from UTD!

Duy T. Dang Quang Nguyen Han Ngo Linh Diep Annie Le Huy Bui Pham V Muoi Minh Anh Vu Thạch Truyền Bảo Le Bui Ngoc Tu Son Nguyen

Also, I highly recommend all Business major especially in Entrepreneur, BIS or anyone interested in forming a start up to go. Please please do go because it is very important to have a business developer.",2016-02-10T19:39:04+0000,0.111715,0.084222,0.134688,0.334779,0.434227
407 Gang.,2016-02-07T04:35:30+0000,0.081566,0.06232,0.320878,0.369061,0.218235
~ Flower,2016-01-24T19:25:03+0000,0.017101,0.043365,0.008634,0.866124,0.085608
I got to see these guys in action xD,2016-01-22T01:01:18+0000,0.066219,0.067235,0.056191,0.642451,0.218441
Cool Swag. #hackrice2016,2016-01-21T06:34:42+0000,0.1244,0.065848,0.059634,0.697218,0.093109
"It is not about showing your talent, it is about realizing how insignificant your talent is. 

~ Hack Rice 2016 <3",2016-01-19T23:50:13+0000,0.281819,0.031789,0.084208,0.179408,0.465868
"Hack Rice 2016

36 Hours of Fun",2016-01-19T23:47:13+0000,0.13864,0.119442,0.035367,0.752816,0.032569
Hack Rice,2016-01-16T04:13:10+0000,0.378037,0.133935,0.075946,0.394567,0.083353
It is doneeee,2016-01-03T04:01:15+0000,0.107579,0.135881,0.221462,0.367923,0.2216
Winter break spent in Florida.,2016-01-01T19:35:35+0000,0.101904,0.017916,0.027163,0.185157,0.717903
1 canceled flight + 5 hours delay of new flight + coffee + food = thousand lines of code.,2015-12-29T21:18:05+0000,0.658609,0.089385,0.02164,0.226125,0.060647
san antonio riverwalk,2015-12-29T15:10:05+0000,0.079125,0.064981,0.11149,0.539835,0.265304
hamilton pool,2015-12-29T15:10:05+0000,0.072699,0.118126,0.074459,0.478319,0.311793
hamilton pool,2015-12-29T15:10:05+0000,0.072699,0.118126,0.074459,0.478319,0.311793
"Well played! Ruined all my plans just 6 hours before the flight. 

Crisis management time!",2015-12-29T07:35:24+0000,0.790612,0.118239,0.064966,0.036413,0.076475
Pussies love money #mygirl #theone,2015-12-26T00:13:40+0000,0.022231,0.068923,0.094381,0.584736,0.288312
"I am going for it, you?",2015-12-24T23:55:32+0000,0.051456,0.07419,0.340264,0.146054,0.474987
"Took a Pass/Fail piano class for stress relief and entertainment, as well as to have a new useful skill.

Turned out it was not a Pass/Fail class.... Now, it is very fun at all.

WHY T-T",2015-12-17T22:33:48+0000,0.110053,0.074858,0.040701,0.184492,0.652826
Technology does change everything.,2015-11-27T04:55:44+0000,0.137473,0.006294,0.099434,0.655861,0.174269
Coding horizontally is just awesome! Recommend all coders to try out!!!,2015-11-17T05:34:27+0000,0.06713,0.072214,0.31149,0.476001,0.136933
"For all the programmers who struggle to write HTML within Eclipse, read this.",2015-11-15T01:39:02+0000,0.251874,0.074136,0.08328,0.31165,0.361988
"The recent attacks in Paris are quite interesting. Every single search engine has rapidly coped with the new change. Google is now showing Paris and attack as suggested words. Even on Amazon, it is showing items made in France. AND, Spotify is suggesting songs about peace and France!!",2015-11-14T04:40:38+0000,0.501047,0.097534,0.086586,0.118752,0.295829
"Wasted 3 hours of coding due the confusion between ""lg"" and ""log"".

",2015-11-12T03:02:25+0000,0.435725,0.106527,0.331844,0.027265,0.221856
"An interview with a Software Engineer with a master from Carnegie Mellon and 6 years of experience (1 at big company, and 2 at start ups). 

""Focus on the foundation, not the new flashy technology""

Recommended for all computer science major to watch Quang Nguyen Keith Nguyen Han Ngo Linh Diep Minh Anh Vu Pham V Muoi Huy Bui Annie Le",2015-11-01T23:44:07+0000,0.1588,0.05426,0.195238,0.358833,0.304297
"Deep Dish Pizza in Chicago

#yummy #eatingyouallday",2015-10-23T23:58:15+0000,0.040261,0.019416,0.021543,0.618296,0.352972
Oh yes! #fridaycodingnight,2015-10-17T05:20:42+0000,0.054008,0.039207,0.114601,0.710384,0.12032
2 cuties :3,2015-10-13T03:21:17+0000,0.063443,0.046644,0.09059,0.569812,0.250736
Chicago at night.,2015-10-12T21:55:29+0000,0.020093,0.016913,0.716849,0.140254,0.148398
Blood Moon at TCU,2015-09-29T02:30:09+0000,0.198562,0.050833,0.118397,0.459809,0.253913
"Productive night destroyed when you have to spend 2 hours to remove a stubborn malware.

#rage",2015-09-27T04:57:36+0000,0.811478,0.041879,0.036798,0.07219,0.095647
Missing the days in during Frogs Camp and Fall Break T-T,2015-09-22T04:20:51+0000,0.229986,0.0245,0.031433,0.012576,0.737725
"Mig Layout thần thánh. One Layout to Rule Them All!!!

Tặng các bạn học lớp intro to programming.

Huy Bui Pham V Muoi Minh Anh Vu Annie Le",2015-09-19T21:11:13+0000,0.089564,0.084131,0.139786,0.352786,0.396994
"Although it is a VSA event, everyone is welcomed!",2015-09-09T22:49:31+0000,0.073529,0.051626,0.084766,0.774298,0.075625
"Great chance to improve your skill, build your network and have fun in college!",2015-09-09T17:24:00+0000,0.073196,0.028173,0.08105,0.787087,0.070367
Power through the night,2015-09-07T06:24:45+0000,0.053994,0.115131,0.770252,0.101887,0.025374
"All hail the Great Fluffy!

Nguyen Hanh Le",2015-09-01T19:19:22+0000,0.068019,0.022794,0.104178,0.474099,0.385943
You are invited to have a taste of our Vietnamese cofFREE!!!!,2015-08-24T03:32:15+0000,0.064473,0.301863,0.065938,0.557774,0.084094
